# RMSE,MAPE,Lower quantile,Upper quantile,Integrated confidence interval,Fraction covered
2.664025e-02,1.710498e-02,6.423178e-01,6.602008e-01,1.366053e-02,5.938840e-01
3.841712e-02,2.130354e-02,5.628441e-01,5.941553e-01,1.366053e-02,7.360708e-01
5.883225e-02,2.668019e-02,7.460931e-01,7.802592e-01,1.366053e-02,6.428882e-01
5.731907e-02,3.694714e-02,7.530851e-01,8.014064e-01,1.366053e-02,3.246742e-01
4.334636e-02,2.577998e-02,7.440600e-01,7.591102e-01,1.366053e-02,2.169681e-01
6.148835e-02,2.701564e-02,8.281922e-01,8.476743e-01,1.366053e-02,5.279718e-01
5.406396e-02,1.856594e-02,7.977691e-01,8.113781e-01,1.366053e-02,5.325269e-01
5.357756e-02,3.052403e-02,7.560756e-01,7.956057e-01,1.366053e-02,5.437269e-01
3.461083e-02,1.754187e-02,7.306145e-01,7.548569e-01,1.366053e-02,4.918161e-01
8.908165e-02,3.241769e-02,8.734840e-01,8.992757e-01,1.366053e-02,5.055125e-01
3.227929e-02,2.008390e-02,6.289158e-01,6.578304e-01,1.366053e-02,7.427046e-01
5.205638e-02,2.081481e-02,7.080997e-01,7.251093e-01,1.366053e-02,6.264848e-01
1.123486e-01,3.387527e-02,8.387005e-01,8.664111e-01,1.366053e-02,5.970006e-01
3.917591e-02,2.601955e-02,6.740023e-01,7.077909e-01,1.366053e-02,3.191770e-01
5.731731e-02,4.419704e-02,5.164914e-01,5.476238e-01,1.366053e-02,1.241876e-01
7.565178e-02,2.251694e-02,7.761275e-01,8.152575e-01,1.366053e-02,8.320317e-01
1.131149e-01,2.561887e-02,6.917407e-01,7.113970e-01,1.366053e-02,6.418845e-01
1.070255e-01,3.862524e-02,8.369574e-01,8.688049e-01,1.366053e-02,2.419973e-01
1.278105e-01,4.047330e-02,7.218221e-01,7.619616e-01,1.366053e-02,6.575869e-01
6.565899e-02,3.464412e-02,8.020227e-01,8.416005e-01,1.366053e-02,4.014682e-01
4.863574e-02,3.500213e-02,6.901770e-01,7.188627e-01,1.366053e-02,1.975422e-01
4.322901e-02,2.137220e-02,6.579352e-01,6.831766e-01,1.366053e-02,7.535070e-01
9.209768e-02,4.213857e-02,8.482785e-01,8.796945e-01,1.366053e-02,5.482160e-01
6.812018e-02,3.527423e-02,7.450604e-01,7.829142e-01,1.366053e-02,7.283405e-01
7.418080e-02,2.428269e-02,8.464064e-01,8.639439e-01,1.366053e-02,6.379066e-01
8.889710e-02,6.451208e-02,7.178065e-01,7.519965e-01,1.366053e-02,1.254458e-01
3.879984e-02,2.206011e-02,6.363231e-01,6.694446e-01,1.366053e-02,7.556770e-01
7.919887e-02,2.961171e-02,7.533728e-01,7.839845e-01,1.366053e-02,6.428155e-01
3.420711e-02,1.787321e-02,5.933257e-01,6.175379e-01,1.366053e-02,6.868515e-01
2.667931e-02,1.879764e-02,6.525173e-01,6.814129e-01,1.366053e-02,5.532785e-01
7.842223e-02,2.659990e-02,7.411450e-01,7.640833e-01,1.366053e-02,7.017297e-01
4.598102e-02,2.964017e-02,5.471098e-01,5.837095e-01,1.366053e-02,5.134290e-01
1.515669e-01,2.889091e-02,8.032742e-01,8.311999e-01,1.366053e-02,5.427506e-01
