# RMSE,MAPE,Lower quantile,Upper quantile,Integrated confidence interval,Fraction covered
3.246297e-02,1.842217e-02,6.455792e-01,6.622055e-01,8.646134e-03,6.262726e-01
3.123567e-02,1.979369e-02,5.813771e-01,5.961406e-01,8.646134e-03,2.319813e-01
6.154199e-02,2.573911e-02,7.449682e-01,7.693073e-01,8.646134e-03,5.638138e-01
5.520053e-02,2.985569e-02,7.576126e-01,7.894631e-01,8.646134e-03,6.815493e-01
5.267732e-02,2.694708e-02,7.437788e-01,7.566454e-01,8.646134e-03,2.357952e-01
9.204163e-02,3.339763e-02,8.312090e-01,8.483704e-01,8.646134e-03,5.812418e-01
7.664080e-02,2.890927e-02,8.003666e-01,8.159564e-01,8.646134e-03,5.813368e-01
5.912074e-02,3.421422e-02,7.809845e-01,8.057799e-01,8.646134e-03,4.104300e-01
4.153122e-02,2.047921e-02,7.374182e-01,7.530421e-01,8.646134e-03,3.394753e-01
9.079374e-02,3.340202e-02,8.685724e-01,8.996766e-01,8.646134e-03,6.342981e-01
2.698905e-02,1.598455e-02,6.276915e-01,6.534758e-01,8.646134e-03,7.648168e-01
5.502010e-02,2.274870e-02,7.141470e-01,7.254416e-01,8.646134e-03,4.210862e-01
1.093141e-01,4.106909e-02,8.676064e-01,8.870192e-01,8.646134e-03,1.202935e-01
3.077400e-02,2.089207e-02,6.685300e-01,6.916392e-01,8.646134e-03,2.878433e-01
4.226656e-02,2.805638e-02,5.159543e-01,5.358742e-01,8.646134e-03,1.773121e-01
4.983754e-02,1.768124e-02,7.938895e-01,8.086696e-01,8.646134e-03,6.701164e-01
1.187263e-01,2.595330e-02,6.960356e-01,7.085694e-01,8.646134e-03,5.530085e-01
1.536880e-01,4.531666e-02,8.563586e-01,8.790745e-01,8.646134e-03,5.645624e-01
1.426115e-01,4.498399e-02,7.406195e-01,7.574218e-01,8.646134e-03,3.994555e-01
6.452002e-02,3.454726e-02,8.155215e-01,8.402789e-01,8.646134e-03,5.384048e-01
5.207809e-02,3.247277e-02,6.982270e-01,7.230662e-01,8.646134e-03,5.160581e-01
5.569692e-02,3.036809e-02,6.603236e-01,6.814361e-01,8.646134e-03,2.602999e-01
9.044106e-02,4.314605e-02,8.415383e-01,8.745719e-01,8.646134e-03,5.888007e-01
6.557975e-02,3.518936e-02,7.498247e-01,7.694594e-01,8.646134e-03,1.380843e-01
7.938604e-02,3.186218e-02,8.432377e-01,8.581146e-01,8.646134e-03,6.310280e-01
8.910707e-02,6.214703e-02,7.121586e-01,7.290241e-01,8.646134e-03,6.949022e-02
6.188253e-02,2.504178e-02,6.516440e-01,6.820757e-01,8.646134e-03,7.218789e-01
1.008217e-01,3.905609e-02,7.636507e-01,7.815485e-01,8.646134e-03,5.099288e-01
3.965688e-02,2.146974e-02,5.910714e-01,6.057567e-01,8.646134e-03,6.125628e-01
2.444252e-02,1.524426e-02,6.573024e-01,6.747840e-01,8.646134e-03,5.971646e-01
7.369279e-02,3.113025e-02,7.323750e-01,7.504761e-01,8.646134e-03,5.578269e-01
3.528356e-02,1.731962e-02,5.550950e-01,5.752195e-01,8.646134e-03,6.328463e-01
1.409577e-01,2.823716e-02,8.104725e-01,8.220327e-01,8.646134e-03,6.161676e-02
4.169345e-02,1.596384e-02,6.503553e-01,6.623752e-01,8.646134e-03,7.132094e-01
1.413825e-01,4.768538e-02,8.285522e-01,8.501082e-01,8.646134e-03,5.310714e-01
9.590957e-02,3.878321e-02,8.201004e-01,8.389037e-01,8.646134e-03,9.674059e-02
6.257725e-02,2.621597e-02,6.306726e-01,6.635458e-01,8.646134e-03,7.741673e-01
7.277679e-02,3.041317e-02,7.989225e-01,8.189921e-01,8.646134e-03,6.673952e-01
5.908066e-02,2.664076e-02,7.379258e-01,7.637101e-01,8.646134e-03,3.889528e-01
7.864560e-02,3.092548e-02,8.323314e-01,8.462809e-01,8.646134e-03,5.568803e-01
5.799463e-02,2.266753e-02,7.369794e-01,7.568470e-01,8.646134e-03,6.498804e-01
4.458802e-02,2.091135e-02,6.144556e-01,6.316497e-01,8.646134e-03,7.252662e-01
6.404766e-02,3.733224e-02,6.806264e-01,7.003145e-01,8.646134e-03,3.083375e-01
7.210727e-02,2.884906e-02,8.498251e-01,8.770183e-01,8.646134e-03,5.084451e-01
5.520114e-02,2.943791e-02,6.439497e-01,6.540273e-01,8.646134e-03,1.564055e-01
4.412511e-02,2.029378e-02,6.354683e-01,6.594576e-01,8.646134e-03,8.049631e-01
1.034487e-01,3.963387e-02,8.491225e-01,8.721518e-01,8.646134e-03,6.399823e-01
9.142449e-02,3.533068e-02,7.583016e-01,7.754841e-01,8.646134e-03,3.255956e-01
4.389323e-02,2.261858e-02,7.236825e-01,7.607378e-01,8.646134e-03,7.193409e-01
9.641882e-02,3.654220e-02,6.458510e-01,6.580133e-01,8.646134e-03,4.331000e-01
1.051686e-01,4.922884e-02,8.220786e-01,8.498470e-01,8.646134e-03,2.712722e-01
1.629090e-01,8.835684e-02,6.766775e-01,6.921303e-01,8.646134e-03,8.082451e-02
4.960954e-02,1.901586e-02,7.571116e-01,7.785544e-01,8.646134e-03,6.689064e-01
8.218067e-02,3.860537e-02,6.271952e-01,6.511155e-01,8.646134e-03,2.399445e-01
1.441114e-01,4.124039e-02,8.417342e-01,8.575478e-01,8.646134e-03,1.064828e-01
4.032953e-02,2.113806e-02,7.313100e-01,7.485419e-01,8.646134e-03,4.446702e-01
5.761393e-02,2.606481e-02,6.122535e-01,6.227804e-01,8.646134e-03,4.979150e-01
7.035712e-02,3.118607e-02,6.193993e-01,6.433049e-01,8.646134e-03,3.764701e-01
2.538231e-02,1.486539e-02,5.939786e-01,6.091828e-01,8.646134e-03,6.321141e-01
5.440802e-02,2.382794e-02,4.810905e-01,5.043574e-01,8.646134e-03,5.368016e-01
5.667198e-02,2.509976e-02,6.664003e-01,6.887209e-01,8.646134e-03,6.449410e-01
8.222975e-02,4.960515e-02,6.589292e-01,6.777419e-01,8.646134e-03,7.805289e-02
2.678257e-02,1.223097e-02,6.505122e-01,6.622838e-01,8.646134e-03,6.909021e-01
8.207347e-02,2.578863e-02,7.995911e-01,8.093070e-01,8.646134e-03,4.982318e-01
3.533003e-02,2.012092e-02,7.250023e-01,7.389406e-01,8.646134e-03,2.886579e-01
3.627675e-02,1.503268e-02,7.006098e-01,7.131299e-01,8.646134e-03,5.824726e-01
7.496566e-02,3.131659e-02,7.250634e-01,7.420250e-01,8.646134e-03,3.318066e-01
4.114075e-02,2.142773e-02,7.724350e-01,7.985173e-01,8.646134e-03,6.890392e-01
6.855742e-02,3.432994e-02,7.649243e-01,7.871232e-01,8.646134e-03,4.290650e-01
7.449343e-02,3.663806e-02,7.547765e-01,7.716650e-01,8.646134e-03,1.647790e-01
3.598460e-02,1.851460e-02,5.545827e-01,5.828474e-01,8.646134e-03,7.288918e-01
5.623726e-02,2.271708e-02,6.522301e-01,6.641200e-01,8.646134e-03,4.064379e-01
1.113010e-01,4.821229e-02,7.987438e-01,8.194234e-01,8.646134e-03,1.247989e-01
3.772155e-02,1.708950e-02,6.538916e-01,6.692960e-01,8.646134e-03,4.937167e-01
9.759630e-02,2.637620e-02,6.717632e-01,7.005526e-01,8.646134e-03,6.370601e-01
4.319482e-02,2.508243e-02,7.785440e-01,7.925180e-01,8.646134e-03,5.503771e-01
4.275235e-02,1.952866e-02,7.076628e-01,7.245177e-01,8.646134e-03,5.547533e-01
6.761622e-02,2.875660e-02,7.459802e-01,7.721751e-01,8.646134e-03,6.476325e-01
5.472167e-02,3.064075e-02,5.262172e-01,5.497761e-01,8.646134e-03,5.798768e-01
5.787393e-02,2.617729e-02,7.290313e-01,7.514644e-01,8.646134e-03,6.499004e-01
8.839467e-02,4.081616e-02,7.939631e-01,8.131402e-01,8.646134e-03,2.055306e-01
5.292012e-02,2.318360e-02,7.676762e-01,7.845839e-01,8.646134e-03,3.854208e-01
3.642768e-02,1.713523e-02,5.574204e-01,5.790498e-01,8.646134e-03,7.469029e-01
4.164092e-02,2.226809e-02,6.485224e-01,6.650479e-01,8.646134e-03,1.788085e-01
8.376600e-02,3.201770e-02,7.229812e-01,7.335336e-01,8.646134e-03,5.524038e-01
5.360998e-02,2.142007e-02,6.935718e-01,7.038983e-01,8.646134e-03,5.669059e-01
9.414251e-02,6.332492e-02,7.284158e-01,7.498713e-01,8.646134e-03,9.400532e-02
5.938861e-02,2.352514e-02,6.230458e-01,6.475580e-01,8.646134e-03,7.187504e-01
5.899405e-02,2.700373e-02,6.970143e-01,7.144841e-01,8.646134e-03,6.041530e-01
6.712969e-02,3.091287e-02,7.976050e-01,8.162502e-01,8.646134e-03,5.985689e-01
5.377359e-02,2.263280e-02,7.712653e-01,7.876139e-01,8.646134e-03,6.627845e-01
1.424693e-01,2.708387e-02,8.013802e-01,8.168043e-01,8.646134e-03,3.726369e-01
